 TIME || TYPE || TITLE || STATUS 

28/11/2019, 15:31  || others || Simon Bridges is at Radius Fulton. || Meeting people like I did today at the Radius Fulton Rest Home is such a privilege. Thank you for having me, I hope to return soon.||
01/07/2019, 18:00  || others || Simon Bridges || Today's fuel tax increase is another blow to Kiwis struggling with the high cost of living under this Government. National understands New Zealanders can't afford this Government. That's why we'll move to link tax brackets to inflation in our first term. That means you'll keep more of what you earn and won't be hit with tax increases by stealth.||
01/07/2019, 12:20  || others || Simon Bridges || 4 cents more a litre in fuel taxes but no new roads? Labour's hitting Kiwis with higher costs at the pump and failing to deliver the roads New Zealanders desperately need. You can't trust Labour on transport.||
30/06/2019, 08:16  || others || Simon Bridges || The last thing Kiwis need is another tax increase. New Zealanders can’t afford this Government.||
26/06/2019, 17:30  || others || Simon Bridges || Kiwi households will be hit by an extra $7000 in taxes over the next four years because of this Government. New Zealanders can't afford this Government.||
25/06/2019, 16:28  || others || Simon Bridges || This morning my friend and colleague Amy Adams MP told caucus she’ll be standing down at the 2020 election. Amy and I were elected to Parliament at the same time and worked together on the Justice and Finance portfolios as ministers. She’s been wonderful to work with and should be proud of the contribution she’s made in improving the lives of New Zealanders. Amy is a close friend, a brilliant woman and I wish her nothing but the best in whatever comes next.||
22/06/2019, 11:08  || others || Simon Bridges || Great to open the Bay of Plenty round of Apprentice of the Year this morning. It’ll be guys like these who’ll lose out if the Government’s polytech reforms go ahead. I’ll be fighting for our apprentices against Labour’s gutting of regional education.||
20/06/2019, 09:39  || others || Simon Bridges || In the Hutt this morning with Chris Bishop. Last year, Phil Twyford said the Melling Interchange ticks all the boxes but now they’re not going to look at funding it for another 10 years. Labour is failing to deliver on transport. Today I committed to National starting Melling in our first term. We’ll get on with the job.||
19/06/2019, 18:30  || others || Simon Bridges || Labour is failing to deliver on the economy. I asked the PM today what GDP growth per person is under her Government and she didn’t know. The fact is it’s down from 1.6% under National to 0.6% under Labour.... See more||
17/06/2019, 12:59  || others || Simon Bridges || Caught up with Nancy this morning at morning tea with Nicola Willis MP. She’s been a loyal National supporter since she was 16. What a hero.||
14/06/2019, 16:14  || others || Simon Bridges || Loved getting around Fieldays yesterday to talk to Kiwis about the issues that really matter and launch our Primary Sector Discussion Document. With 23 new proposals to take regional New Zealand forward, this Discussion Document is all part of making sure we're ready to govern in 2020. Read it here and have your say: https://www.national.org.nz/primary_sector||
13/06/2019, 13:35  || others || Simon Bridges || We've just released our discussion document on the primary sector, with 23 proposals to support rural NZ and take the industry forward. Check out the document and give us your feedback at: https://bit.ly/2WCwAyd||
13/06/2019, 12:12  || others || Simon Bridges was live. || #LIVE: Releasing our Primary Sector Discussion Document at Fieldays||
13/06/2019, 11:23  || others || Simon Bridges || I’m here at Fieldays to talk about the issues that really matter to Kiwis. We’re working hard to ensure we’re ready to govern in 2020 and our Primary Sector Discussion Document is all part of it.||
12/06/2019, 19:00  || others || Simon Bridges || Families want more money in their weekly budgets for food, rent and petrol. Instead Kiwis are being hit with over $1.5 billion in extra fuel taxes by this Government. Labour is failing to deliver for New Zealanders.||
12/06/2019, 17:42  || others || Simon Bridges || Watch #LIVE as I launch our Primary Sector Discussion Document from Fieldays tomorrow. We’re heading into 2020 with a plan to deliver for our regions.||
30/05/2019, 19:49  || others || Simon Bridges || ||
30/05/2019, 17:34  || others || Simon Bridges || Chatting with Amy Adams about how #Budget2019 is a disappointment for NZers.||
30/05/2019, 14:44  || others || Simon Bridges was live. || #LIVE: I'm in the House responding to the Government's Budget.||
30/05/2019, 14:34  || others || Simon Bridges || Heading into the House to respond to the Government's Budget.||
30/05/2019, 09:24  || others || Simon Bridges || Here's how easy it was to access Budget information.||
30/05/2019, 08:46  || others || Simon Bridges was live. || #LIVE: Watch as I explain the Government’s appalling lack of competence around the Budget||
29/05/2019, 19:00  || others || Simon Bridges || The Government is releasing its Budget tomorrow. Tune in to watch my response #LIVE.||
29/05/2019, 17:45  || others || Simon Bridges || The Government's off to a bad start with their Budget and we'll be holding them to account in their self-described 'Year of Delivery.' Tune in tomorrow as we respond to Budget 2019.||
29/05/2019, 09:01  || others || Simon Bridges was live. || #LIVE: Latest on the Budget.||
28/05/2019, 10:17  || others || Simon Bridges was live. || #LIVE: National can reveal key details from the Government’s Budget two days before its release.||
27/05/2019, 18:30  || others || Simon Bridges || Borrowing more to spray at failed policies like fees-free and KiwiBuild. It's Kiwis who'll be stuck paying it back.||
26/05/2019, 19:12  || others || Simon Bridges || 26/05/2019, 17:05  || others || Simon Bridges || While the Government sprays your cash at failed policies like fees-free and KiwiBuild, law and order is being treated like an afterthought. By focusing too much on getting prison numbers down, they've taken their eye off reducing crime.||
25/05/2019, 12:58  || others || Simon Bridges || Always grateful for everything these two wonderful women do.||
24/05/2019, 18:44  || others || Simon Bridges || ||
23/05/2019, 11:24  || others || Simon Bridges || Mabuhay! This week I welcomed Paulo Garcia to the New Zealand National Party team. Paulo is New Zealand's first MP of Filipino descent. It's great to have him on the team and I'm looking forward to working with him.||
20/05/2019, 11:43  || others || Simon Bridges || I launched our International Affairs Discussion Document this morning. We're going into the 2020 election with a plan and we want to hear from you as we develop policy. Head to the link and have your say:... See more||
20/05/2019, 10:51  || others || Simon Bridges was live. || Watch #LIVE as I launch our International Affairs Discussion Document.||
19/05/2019, 18:00  || others || Simon Bridges || You can't argue with the numbers Minister, under your watch there will be 10,000 fewer elective surgeries. Lives will be put at risk. Labour canned elective surgery targets as soon as they could. This is the result.||
19/05/2019, 16:00  || others || Simon Bridges || I'll be launching our International Affairs Discussion Document tomorrow. We'll be heading into the 2020 election with a plan to deliver on the issues that matter to Kiwis. Watch #LIVE tomorrow to hear how we'll boost jobs through trade, strengthen our place on the world stage and keep New Zealanders safe.||
19/05/2019, 08:19  || others || Simon Bridges || Congratulations to Scott Morrison (ScoMo) and the Coalition from the whole New Zealand National Party team. What a stunner of a victory.||
16/05/2019, 20:29  || others || Simon Bridges || Like every other parent, I want my kids to grow up in a New Zealand where they have the opportunity to get ahead. #TakeTheQuiz below and see how many Kiwis are choosing to fly the coop because there isn't enough for them at home.||
16/05/2019, 17:20  || others || Simon Bridges || Had a chat to Bella and her favourite horse Isaac this morning. My local Tauranga RDA Equestrian Therapy Centre makes a huge difference in the lives of their 163 weekly clients. Very proud of the work they do.||
14/05/2019, 19:40  || others || Simon Bridges || On Monday, I met with the Porteous, Keene and Dow families. They've all lost loved ones to drug-impaired drivers. We can't bring those loved ones back but we can, as MPs, push the Government to make changes to stop more tragedies. It's time for action on roadside drug testing from this Government.... See more||
13/05/2019, 18:44  || others || Simon Bridges || This Government is taking New Zealanders for a ride when it comes to KiwiBuild. They announced the policy seven years ago but they still haven't figured out how to deliver it. Another case of over-promising and under-delivering.||
13/05/2019, 10:04  || others || Simon Bridges || I'm bloody angry at the Government's inaction on drug driving. A New Zealander dies from a drug impaired driver every five days and the Government has been sitting on a roadside drug testing proposal for 17 months. National put a Bill before Parliament on this issue and the Government voted it down. It's time for action.... See more||
12/05/2019, 08:51  || others || Simon Bridges || #WATCH: Today Louise Upston MP and I have announced a new policy that'll see more support provided to mums in those crucial first few days after having a baby. At the moment, mums have 48 hours of care, but we know they're often encouraged to leave as soon as possible. Our new Three Day Stay Bill will make sure new mums are entitled to at least three days of care after they give birth. Louise and I explain the policy here (with a bit of help from Simeon Brown MP's three-month-old Anna).||
12/05/2019, 08:12  || others || Simon Bridges || Happy Mother's Day to my wonderful wife Natalie. Natalie runs her own business and raises our three little ones when I'm on the road or in Wellington. She's a superhero, as you can see here:||
12/05/2019, 07:30  || others || Simon Bridges || Happy Mother's Day to my lovely mum Ruth. Being a mum is a tough job and she managed to raise six of us. Here's a pic of our whole crew with mum a couple of years back. (I'm the staunch one up the front)||
10/05/2019, 16:27  || others || Simon Bridges || Forcing the Government's CGT back-down, opening a new school and my son Harry's big day at Parliament. Read all about it in my latest newsletter 10/05/2019, 13:07  || others || Simon Bridges || Beautiful day down south with Hamish Walker MP for Clutha-Southland today. Big issue for Southlanders is the Government’s policies slowing down our primary sector.||
08/05/2019, 20:04  || others || Simon Bridges || Labour's been trying to sell KiwiBuild to Kiwis for seven years. Seven years to figure out how it'll work and they still can't figure out how to deliver it. The broken promises are stacking up.||
04/05/2019, 14:47  || others || Simon Bridges || Natalie and I took the kids to Tauranga Fire Station today to mark International Firefighters’ Day. To all the men and women at Fire and Emergency, thank you for everything you do for New Zealand. And for always having time for fire truck-mad kids like mine.||
02/05/2019, 18:21  || others || Simon Bridges || Great getting around the Wairarapa today with Alastair Scott MP. Debated some whip-smart Kuranui College students, listened to the very talented Nina give a speech, took questions at a couple of public meetings and met with local businesses. Fantastic day meeting fantastic Kiwis.||
29/04/2019, 12:35  || others || Simon Bridges || When we've got doctors striking and cancer drugs in need of funding, is spending $1.1 million on slushies in prisons really the best use of taxpayer money from this Government? Credit: Breakfast||
28/04/2019, 09:49  || others || Simon Bridges || #SlushyFund So the Government's just spent 18 months trying to convince Kiwis that making them pay more tax is a great thing. But now we uncover a Government department under Labour spending $1.1 million on slushies. This kind of wasteful spending shows they clearly don’t know how to spend what they’re already taking.||
26/04/2019, 16:21  || others || Simon Bridges || This Government may like vague talking points about wellbeing and kindness but they don't have plans or policies. National does. On Breakfast earlier this week talking about the Government's Capital Gains Tax debacle.||
25/04/2019, 18:14  || others || Simon Bridges || Joined Natalie and our little ones for a service at home in Tauranga later this morning. I think it’s important for my kids to hear stories of the sacrifices others made to protect our way of life.||
25/04/2019, 15:16  || others || Simon Bridges || Incredibly moving Dawn Service in Auckland this morning. Today we remember those who gave their lives to protect our freedoms and reflect on the sacrifice they made. We will remember them.||
24/04/2019, 16:10  || others || Simon Bridges added an event. || ||
22/04/2019, 16:01  || others || Simon Bridges || Reading some important papers with my little Jemima. Hope everyone had a great Easter weekend.||
21/04/2019, 21:57  || others || Simon Bridges || ||
21/04/2019, 15:08  || others || Simon Bridges || Some very happy Bridges kids this weekend. A couple of days at Ohiwa Holiday Park and then got home to find the Easter Bunny had stopped by. 18/04/2019, 17:39  || others || Simon Bridges || Wishing you all a very happy Easter weekend from our family to yours. Drive safe and take care. Here's my 5-year-old Harry handing out Easter eggs at Parliament last week. Apologies for the dirty shirt - I think the Easter Bunny had been raiding his own supply.||
17/04/2019, 22:42  || others || Simon Bridges || So the Government has wasted 18 months and $2 million on a Tax Working Group to suggest a Capital Gains Tax. While they've been doing that, investment has completely slowed down as business owners worry what the future will look like. This has made Kiwis worse off.||
17/04/2019, 15:58  || others || Simon Bridges || After 18 months of waiting and a $2 million Tax Working Group, our relentless opposition to a Capital Gains Tax has forced the Government into an embarrassing backdown. Unlike them, we’ve got a plan when it comes to the economy. No new taxes in our first term and we’ll index tax brackets to inflation. National believes Kiwis deserve to keep more of what they earn.||
16/04/2019, 11:36  || others || Simon Bridges || On the production line at Silky Oak Chocolate Company in Hawke’s Bay with Lawrence Yule MP. I reckon the chocolate speaks for itself.||
14/04/2019, 08:28  || others || Simon Bridges || Had a blast with the boys on Lake Rotoiti yesterday.||
13/04/2019, 08:35  || others || Simon Bridges || A Capital Gains Tax would hit more than half a million businesses across New Zealand. It's a tax on all the Kiwis who take the risk and give it a go by building their own business. We'll fight the proposed CGT every step of the way.||
11/04/2019, 15:07  || others || Simon Bridges || This is my boy Harry. When my oldest son Emlyn turned five, he spent the day with me at Parliament. Yesterday it was Harry's turn. Can't believe he starts school this month.||
09/04/2019, 22:25  || others || Simon Bridges || Took some time out today to chat to a young fella with an interest in politics.||
08/04/2019, 17:49  || others || Simon Bridges || Packed day in Christchurch. Met with ChristchurchNZ, spoke at the New Zealand Institute of Management and Leadership, heard from Christchurch Resettlement Services and took some questions from journalism students at Ara Institute of Canterbury. Looking forward to them joining the press gallery.||
04/04/2019, 18:20  || others || Simon Bridges || A privilege to be at the sendoff for my friend Brian Diver after 25 years leading Tauranga Intermediate as principal. Go well Brian.||
04/04/2019, 15:11  || others || Simon Bridges || New Zealanders standing united, our security and some special visitors to Tauranga. I also cover early childhood education and Tauranga's infrastructure needs in my latest newsletter. Have a read at the link below. 03/04/2019, 17:36  || others || Simon Bridges || This Government is scaring businesses off investing, taking risks and creating jobs.||
02/04/2019, 14:06  || others || Simon Bridges was live. || #LIVE Holding the Government to account||
31/03/2019, 15:06  || others || Simon Bridges || With the crew at the Waipuna Hospice superhero walk this morning.||
29/03/2019, 17:41  || others || Simon Bridges || At today's moving remembrance service in Christchurch, I thanked Australian PM Scott Morrison (ScoMo) for his country’s support in responding to the attacks. 28/03/2019, 13:23  || others || Simon Bridges is at South Island Agricultural Field Days. || Lots to talk about at South Island Field Days yesterday. Our farmers are concerned about this tax-happy government. Great to man the BBQ at the Rural Support Trust stand. They're absolute heroes.||
23/03/2019, 18:52  || others || Simon Bridges is in Tauranga, New Zealand. || A great day celebrating diversity at the Multicultural Festival in Tauranga.||
22/03/2019, 19:30  || others || Simon Bridges is at Tauranga Mosque. || Hundreds gathered at the Tauranga Mosque today, one week on from the tragic events in Christchurch. It was important to me to be with my local community today. We will never forget.||
22/03/2019, 13:32  || others || Simon Bridges || One week on, we remember.||
21/03/2019, 10:29  || others || Simon Bridges || Congratulation Simeon Brown MP and Rebecca on the arrival of Anna Sarah. The arrival of a little one always puts things in perspective. Glad to hear Mum and baby are well.||
20/03/2019, 18:48  || others || Simon Bridges || New Zealanders had a choice following the devastating attacks in Christchurch. We haven't chosen fear, hate or anger. We have chosen compassion, love and forgiveness. The New Zealand Islamic community have been leaders in demonstrating unity and love. Thank you to Tahir Nawaz and the Wellington Islamic Community/Kilbirnie Mosque for welcoming us today. Al salam Alaikum.||
19/03/2019, 17:17  || others || Simon Bridges || Today, all party leaders spoke in Parliament on the Christchurch mosques terror attacks. Our strength as a nation is our compassion and our welcoming of diversity. It has been a hallmark of our culture for hundreds of years. This will not change us. Because at times like these we do not consider ourselves Christian or Muslim, Sikh or Jew. Or Maori or Pakeha, Chinese, Pacific Islander, Indian or any other ethnicity.... See more||
15/03/2019, 15:10  || others || Simon Bridges || ||
14/03/2019, 16:12  || others || Simon Bridges || I’ve spent the day in Dunedin with Michael Woodhouse MP visiting the Otago Polytechnic to hear from them and discuss their alternative plan to the Government’s reforms in the sector, a visit to the Mosgiel Business Association, the Dunedin Young Professionals for a Q&A, the Francis Hodgkins Retirement Village and both our amazing NZ Young Nats and SuperBlues. I also got my first ride on a Lime Scooter and read the news on The Country with Jamie MacKay and Lashes.||
14/03/2019, 16:02  || others || Simon Bridges || Great to read the news on The Country today in Dunedin with Michael Woodhouse MP, Jamie MacKay and Lashes. They’re still talking up their 2015 victory around here 11/03/2019, 17:33  || others || Simon Bridges || Great to spend the day in Epsom with Paul Goldsmith talking about the detrimental effects of Labour’s proposed Capital Gains Tax.||
11/03/2019, 12:49  || others || Simon Bridges || What I’m hearing from many New Zealanders is that this is their nest egg, this is their retirement plan, and yet, under Labour’s Tax Working Group proposals they are facing more taxes. Credit: Breakfast||
10/03/2019, 12:08  || others || Simon Bridges || Jacinda Ardern, Grant Robertson and Sir Michael Cullen are being very tricky when it comes to the Tax Working Group report. Credit: Newshub Nation||
08/03/2019, 16:09  || others || Simon Bridges || What an honour to be surrounded by amazing women in my working and personal life. #InternationalWomensDay||
07/03/2019, 09:14  || others || Simon Bridges || Labour’s Tax Working Group has proposed that farmers will pay a Capital Gains Tax of more than $600,000 for an average dairy, sheep or beef farm if they sell it ten years’ time. What’s worse is the Tax Working Group has also proposed a whole series of unnecessary environmental taxes that will cost thousands more. This is a tax grab, plain and simple.||
06/03/2019, 17:25  || others || Simon Bridges || Capital Gains Tax, what I talked about with Australian Prime Minister Scott Morrison (ScoMo), and the issue that is cramming my inbox. I also catch-up with a dedicated team from Tauranga Hospital and look forward to a local leaders meeting - just some of the things covered in my latest newsletter. Have a read by clicking on the link below 01/03/2019, 11:26  || others || Simon Bridges || Labour’s Tax Working Group proposes taking more of what you earn. Part of the tax grab includes your retirement savings. We’ve worked out that the average KiwiSaver member would have $64,000 less for their retirement.... that’s a whole year of wages for the average worker.||
27/02/2019, 17:32  || others || Simon Bridges is with Tim van de Molen MP and 6 others in Hamilton, New Zealand. || Busy day in Hamilton today. I visited two early childhood centres, spent some time at the University of Waikato, stopped by to visit Rototuna High School, visited Wintec and gave a speech at the Waikato Chamber of Commerce. Hamilton really is the City of the Future.||
25/02/2019, 12:39  || others || Simon Bridges || This morning I spoke to Breakfast about the proposed Capital Gains Tax and what it will really mean for New Zealanders.||
23/02/2019, 17:12  || others || Simon Bridges || Here’s what the Kiwi way of life means to me...||
23/02/2019, 11:41  || others || Simon Bridges is in Raglan, New Zealand. || Today I launched the first of our policy discussion documents. This one is about the environment. National has practical and science-based plans to meet New Zealand’s environmental challenges.||
23/02/2019, 09:19  || others || Simon Bridges was live. || New Zealanders should trust National as much with the environment as they do with the economy. Join me #Live as I launch our first policy discussion document this year. National has practical and science-based plans to meet New Zealand’s environmental challenges.||
22/02/2019, 18:45  || others || Simon Bridges || Great to meet with Australian Prime Minister Scott Morrison (ScoMo) in Auckland today. He values the relationship with New Zealand. We talked about our shared values, foreign affairs and how our two countries can work more closely together.||
22/02/2019, 14:01  || others || Simon Bridges || Tomorrow we're launching the first of our eight policy discussion documents, this one will be all about the environment. Join me here #live for the launch.||
21/02/2019, 13:27  || others || Simon Bridges || The Government’s Tax Working Group has just proposed up to eight new taxes, including a Capital Gains Tax. It’s an attack on the Kiwi way of life. Labour says it’s about fairness, but I think that’s rubbish. It’s not fair to everyday Kiwis. You should be keeping more of what you earn. We say no to new taxes—we will repeal a Capital Gains Tax.||
20/02/2019, 18:00  || others || Simon Bridges || Amazing maiden speech from our newest MP Agnes Loheni. Welcome to the team! You'll be great.||
18/02/2019, 17:41  || others || Simon Bridges || Today I visited two Early Childhood Education Centres in Wellington with our Spokesperson Nicola Willis MP. It’s really important to me that I get out into our communities and find out what’s important to parents and families.||
18/02/2019, 12:59  || others || Simon Bridges || I’m really passionate about the environment and I know economic growth and improving the environment can and must go hand in hand. This year we’ll be releasing a bunch of policy discussion documents, starting with one on our environment at the Bluegreens Forum this weekend. I’m really looking forward to it!||
16/02/2019, 14:00  || others || Simon Bridges || Another busy week as Parliament resumed for the year. As much I enjoyed being back in Wellington and holding the Government to account, it was also great to get out into the regions with our hardworking MPs. I was in Timaru and Ashburton with Andrew Falloon MP for Rangitata and went to Nelson with Nick Smith MP. I love getting out and hearing from New Zealanders about the issues that matter to them.||
15/02/2019, 16:55  || others || Simon Bridges || It was humbling to catch up with the residents in Wakefield today and visit the rural command centre. This community has been through so much in recent weeks and our emergency services are doing a great job.||
15/02/2019, 15:36  || others || Simon Bridges || Really great to catch up with Andrew Falloon MP for Rangitata in Timaru and Ashburton yesterday. It’s really important to me to get out into the regions and find out what’s important to New Zealanders.||
12/02/2019, 14:34  || others || Simon Bridges was live. || #LIVE: I’m outlining our focus for the year ahead at the opening of Parliament. This Government’s had a horror start to the year. National has started strong—we’re putting up ideas to improve lives of Kiwis, and we’re holding this Government to account.||
11/02/2019, 16:23  || others || Simon Bridges added an event. || ||
10/02/2019, 15:28  || others || Simon Bridges is attending Ending HIV Big Gay Out: 20th Anniversary with Maggie Barry and 7 others at Coyle Park. || It was fantastic to attend the Big Gay Out in Auckland today. Great to see so much friendship and love on display.||
10/02/2019, 11:04  || others || Simon Bridges || Today’s young Kiwis are tomorrow’s leaders. Your feedback matters to us—click here to share your thoughts with our team so we make sure New Zealand is a place where you want to live, work, and raise your families: https://www.national.org.nz/youngnz||
07/02/2019, 17:32  || others || Simon Bridges || Always great catching up with our Aussie mates. It’s a pleasure hosting former Australian Foreign Minister Julie Bishop at our caucus in Hamilton. We’re looking forward to sharing ideas and hearing from her on a range of issues.||
05/02/2019, 16:30  || others || Simon Bridges || It was great to lead National's delegation at Waitangi today and to take part in really important discussions about the future of our country and of M30/01/2019, 16:31  || others || Simon Bridges || I’m proud to introduce a policy that’ll make a real difference to so many Kiwis. Check out me and my animated buddies explaining how much someone on the average wage, and families, can expect to save under a National Government.||
30/01/2019, 14:31  || others || Simon Bridges was live. || Join me #LIVE as I outline National’s vision for 2020 and beyond #national||
29/01/2019, 10:25  || others || Simon Bridges || Tomorrow I’m giving my first speech of the year where I’ll be talking about my vision for New Zealand heading into the 2020s. We’ll stream it on my page at 2:30pm—join me then to find out more.||
24/01/2019, 19:07  || others || Simon Bridges || A pleasure kicking off the political year at R21/01/2019, 10:16  || others || Simon Bridges || Good to be back at it kicking off the year this morning. Unemployment's down, there are plenty of jobs out there, but there's 11,000 more people on the Jobseeker benefit than this time last year. We predicted this would happen under this Government, because they're not enforcing the penalties on the books for those who aren't making a good faith effort to get into a job. (Credit: The AM Show)||
18/01/2019, 13:02  || others || Simon Bridges || Was great to be out doorknocking this week in Greerton, Tauranga with volunteers. Even the rain didn't hold us back!||
31/12/2018, 20:40  || others || Simon Bridges || Happy New Year everyone! Natalie and I are enjoying the celebrations at a community event at Fergusson Park in Tauranga with the kids. Hope you all have a good night!||
31/12/2018, 18:34  || others || Simon Bridges || My little princess turns 1!||
25/12/2018, 09:00  || others || Simon Bridges || From our family to yours, Merry Christmas!24/12/2018, 13:00  || others || Simon Bridges is at Mount Maunganui (mountain). || Great way to start off Christmas Eve with a walk up the Mount this morning with the whanau.||
22/12/2018, 09:38  || others || Simon Bridges || Currently singing ‘We Built this City on Sausage Rolls’ with the kids at the top of our lungs. Well done LadBaby! 21/12/2018, 18:43  || others || Simon Bridges || Just some of National’s highlights from 2018!||
20/12/2018, 17:40  || others || Simon Bridges added a temporary profile picture. || Merry Christmas! 20/12/2018, 13:09  || others || Simon Bridges || Wrapping up the year that was - here's some of my top highlights. Have a read by clicking on the link below 19/12/2018, 20:45  || others || Simon Bridges || This Govt has revealed at the last minute it will sign NZ up to the UN Migration Pact. This decision restricts NZ's ability to set our own immigration policy. National will overturn it.||
19/12/2018, 18:09  || others || Simon Bridges || Had a few kids in visiting the office today for a Christmas gathering so continued the tradition of having a quick race down the hallway.||
19/12/2018, 16:14  || others || Simon Bridges was live. || #LIVE Wrapping up the year that was in the adjournment debate at Parliament.||
18/12/2018, 19:43  || others || Simon Bridges || Today the Govt announced it will hold a binding referendum on legalising cannabis at the 2020 election. I think they're trying to distract from the big issues. What's your view?||
17/12/2018, 12:49  || others || Simon Bridges || My last interview on Breakfast for 2018, talking highlights and lowlights of the year.||
14/12/2018, 14:06  || others || Simon Bridges || #HELP: Do you know a 14-year-old Nate from Christchurch? One of the best things about my job is the letters I get from young people all over the country. Nate sent me this great card and asked me to reply to him, but he didn’t give me his address. Can you help me find Nate?||
13/12/2018, 10:34  || others || Simon Bridges || My acceptance speech . . . 12/12/2018, 17:19  || others || Simon Bridges || Rents across the country are skyrocketing under this Govt, up an average of $30 a week, thanks to their bad policies. That's hurting families.||
11/12/2018, 12:05  || others || Simon Bridges || As a father, my heart goes out to the family of Grace Millane. Having worked as a Crown Prosecutor on similar cases, I know the incredible toll this will be having on the family and the Police team involved.||
10/12/2018, 12:24  || others || Simon Bridges || Lots of questions this morning on this Govt's 206 reviews and working groups, and why taxpayers are forking out $700,000 a day to pay for them. Credit: The AM Show||
09/12/2018, 12:20  || others || Simon Bridges || That works out at almost $700,000 a day. At a time when cost of living is on the rise, rents are going up, and more taxes and regulations are being piled on, New Zealanders don’t need this wasteful spending as they feel the pinch at Christmas time.||
06/12/2018, 10:11  || others || Simon Bridges || A very happy Chanukkah to all those celebrating this tradition.||
05/12/2018, 16:02  || others || Simon Bridges || #Talking to the media about being kicked out of the House today. The Prime Minister wouldn't answer serious questions about the Sroubek fiasco. The Speaker leapt to her protection and I called him on it.||
05/12/2018, 14:16  || others || Simon Bridges was live. || #LIVE: My question to the PM today on the continuing Sroubek debacle.||
05/12/2018, 08:30  || others || Simon Bridges || I support Alfred Ngaro’s drive to make lifejackets compulsory for kids.||
04/12/2018, 17:36  || others || Simon Bridges updated their profile picture. || Me & my beautiful kids.||
04/12/2018, 15:26  || others || Simon Bridges || Sad to hear about the passing of Tauranga District Court dog Louie after a sudden illness. He touched many lives and will be missed. Photo credit: Bay of Plenty Times.||
04/12/2018, 11:13  || others || Simon Bridges || Today I announced National does not support the UN’s Global Compact on Migration and will pull New Zealand out if this Government signs up to it.||
03/12/2018, 18:20  || others || Simon Bridges || It was an honour to meet South Korean President Moon Jae-in today. We had a wide-ranging discussion - everything from talented NZ golfer Lydia Ko to kiwifruit, our country's shared histories and mutual interests in trade, tourism and culture 02/12/2018, 13:52  || others || Simon Bridges || Really enjoyed The NZAG Show in Christchurch last month. Great to see rural and urban communities coming together to celebrate an ever-diversifying industry. The Primary Sector is the engine room of our economy and we want to hear from you so we can develop great policies for 2020. You can take our Rural New Zealand survey here 30/11/2018, 11:16  || others || Simon Bridges || Kiwi families are hurting because of this Govt’s poorly thought through policies.||
29/11/2018, 11:46  || others || Simon Bridges || Another busy month out and about in my Tauranga electorate, in between travelling the country for events as National Party Leader. Some highlights: 28/11/2018, 18:25  || others || Simon Bridges || A familiar face popped in to Parliament today selling buckets of Cookie Time cookies - Bill English's son Xavier. Not sure these are good for my waistline, but it’s Christmas!||
28/11/2018, 10:47  || others || Simon Bridges || HAVE YOUR SAY: Families matter. That’s why we want to hear from you. Tell us what you want us to focus on to help you and your family get ahead. Take our quick survey at 27/11/2018, 17:46  || others || Simon Bridges was live. || #LIVE It’s starting to look a lot like Christmas at Parliament.||
26/11/2018, 19:03  || others || Simon Bridges || Had some fun recording this video for our Have Your Say: Families campaign. What do they say about not working with kids or animals? Make sure you tell us your ideas for how we can help families get ahead at 26/11/2018, 16:25  || others || Simon Bridges || No new taxes or petrol tax increase in our first term & we'll get rid of the Auckland regional fuel tax and any capital gains tax. That's my commitment to you.||
26/11/2018, 13:28  || others || Simon Bridges was live. || #LIVE Wrapping up the ‘Have your Say’ families launch. #HaveYourSay #NationalParty||
26/11/2018, 12:10  || others || Simon Bridges || ||
24/11/2018, 15:50  || others || Simon Bridges || Our darling girl excited about putting up the Christmas tree||
22/11/2018, 17:06  || others || Simon Bridges || While Parliament's in recess, I've been able to spend a bit more time in Tauranga. Got a tour of The Kollective - TK this week - it's a new shared space for Tauranga's social service sector. Check out some of their awesome facilities below 22/11/2018, 09:28  || others || Simon Bridges || Huge congrats to Peter McBride and the team at Zespri on taking out Chairperson and Company of the Year at the Deloitte Top 200 Awards last night. Zespri's HQ is based in my electorate and I've had a lot to do with them over the years. So well-deserved.||
21/11/2018, 16:29  || others || Simon Bridges || Visited Waimahia Inlet, a housing project built under National in Auckland today. It has almost 300 affordable homes with different options of ownership available such as shared equity and rent to buy. -- With Judith Collins, Andrew Bayly and Housing Foundation Chair Tony Lanigan.||
21/11/2018, 12:00  || others || Simon Bridges updated their cover photo. || ||
21/11/2018, 09:10  || others || Simon Bridges || HAVE YOUR SAY: National recognises and respects the contribution older people have made to New Zealand. That's why we want to hear from you. We're #listening so tell us your ideas on how we can ensure you get the support you need by taking our quick survey below 20/11/2018, 19:27  || others || Simon Bridges updated their profile picture. || Met this little cutie today. Her name is Betsie.||
20/11/2018, 17:05  || others || Simon Bridges is with Maggie Barry MP. || We're committed to making NZ an even better place to live – for you, for your children and for your grandchildren. That's why we want to hear your ideas for how we can ensure seniors get the support they need. #Watch the video below for more details 19/11/2018, 16:52  || others || Simon Bridges || Was good to talk trade & cooperation with Chilean President Sebastián Piñera in Auckland today 19/11/2018, 09:21  || others || Simon Bridges || Rents have gone up 2.5 times faster under the Labour-led Government than under National, adding to the strain on households forced to stretch each dollar further as the cost of living rises.||
17/11/2018, 14:09  || others || Simon Bridges || In traditional Nepalese dress at the Nepal Festival at Aotea Square. Lady June Hillary who has done so much for people of Nepal over the years.||
16/11/2018, 18:15  || others || Simon Bridges || Celebrating our fantastic rural community at The NZAG Show in Christchurch.||
