 TIME || TYPE || TITLE || STATUS 

07/11/2019, 16:27  || others || Jacinda Ardern || A pretty historic moment - today we pass our Zero Carbon legislation into law. Tried to summarise what it means for New Zealand...||
21/11/2018, 20:30  || others || Jacinda Ardern || Not the most exciting of images, but it tells a story. You might remember some of the discussion about Counties Manukau DHB and the infrastructure challenges there. This is the exterior of the hospital, and it’s one of many kinds of things that will be fixed with the $80mill we pledged to them today. In the meantime, a huge thanks to the incredible team who work inside these walls, and do an amazing job.||
20/11/2018, 20:00  || others || Jacinda Ardern || Meet the Mt Albert Rangers. Seemed appropriate to spend just a bit of universal children’s day with them. Thanks for the poems and baking!||
16/11/2018, 16:55  || others || Jacinda Ardern was live. || Quick summary of the East Asia Summit here in Singapore||
16/11/2018, 10:49  || others || Jacinda Ardern || Last day here in Singapore for the East Asia Summit, which has meant missing a few things back home including the @nzmusicawards (congratulations to all the winners!) and the final episode of Jono and Ben. Thanks for all the laughs you two, with a special thanks to Laura Daniel. You made me laugh at myself in a very literal way!||
15/11/2018, 21:45  || others || Jacinda Ardern || If you’ve been reading about the East Asia Summit, this is what it looks like. Quite a bit of discussion on regional security, environmental challenges, and trade. Will make sure I do a Facebook live before I leave Singapore to share a few more details!||
10/11/2018, 16:32  || others || Jacinda Ardern || It’s been a busy week and I have been rubbish at posting updates about it! In amongst it all we had the Labour conference, Ratana’s 100th commemorations, a visit to Whakatane where the Mayor gifted me a painting of the area near where I used to live, and the launch of Te Tai - treaty settlement stories. The common theme in amongst it all? Some brilliant young people!||
05/11/2018, 12:43  || others || Jacinda Ardern || You might remember that a few weeks ago, I asked for a little bit of help to design the front of my Christmas card. I was absolutely overwhelmed by how wonderful and unique they all were - I loved every single one of them! Thank you to everyone who sent something in. I couldn't choose just one so we're going to have a couple of different cards. You can see them all in the video below.||
04/11/2018, 20:52  || others || Jacinda Ardern was live. || A little bit of detail on our announcement today...||
04/11/2018, 14:31  || others || Jacinda Ardern || A quick update on today's announcement!||
04/11/2018, 13:40  || others || Jacinda Ardern || ||
04/11/2018, 12:14  || others || Jacinda Ardern was live. || Getting ready for the big Labour conference speech!||
30/10/2018, 21:36  || others || Jacinda Ardern || For anyone today at the meet and greet who asked me to pass on something (like a Christmas decoration) to the Duke and Duchess of Sussex, here is proof that I did! Thanks to everyone who has shown our guests such hospitality and kindness. You’ve more than made up for the weather||
28/10/2018, 16:00  || others || Jacinda Ardern || Our wonderful @nzinvictusteam are back! Brilliant to welcome them home and catch up with our medal winners too.||
28/10/2018, 15:57  || others || Jacinda Ardern || A warm but windy welcome to Wellington!||
27/10/2018, 19:45  || others || Jacinda Ardern || Today I met the families who will be moving into our very first Kiwibuild homes. If that wasn’t significant enough, one of the youngest residents presented me with this. It’s going straight to the pool room.||
27/10/2018, 10:30  || others || Jacinda Ardern was live. || Just had a quick tour of our first kiwi build homes with some of our new owners||
27/10/2018, 10:05  || others || Jacinda Ardern was live. || Dave Dobbyn welcoming our first Kiwi Build owners to their new homes!||
26/10/2018, 19:07  || others || Jacinda Ardern || One year on...||
26/10/2018, 09:40  || others || Jacinda Ardern || In the great (ongoing) New Zealand map conspiracy, I didn't quite expect these two to feature....||
21/10/2018, 09:03  || others || Jacinda Ardern was live. || About to risk life and limb on What Now...wish me luck||
20/10/2018, 16:22  || others || Jacinda Ardern || Happy Diwali! If you’re in Auckland (or even near it) pop along to the festival at Aotea Square||
19/10/2018, 16:57  || others || Jacinda Ardern || Who would have thought. A year ago today the now Deputy Prime Minister, Winston Peters, announced he would form a government with @nzlabour Today we announced a more than $200million investment in extra surgery beds and operating theatres for Auckland and cardiac and endoscopy services for Whangarei. #letskeepdoingthis||
13/10/2018, 14:50  || others || Jacinda Ardern || This is Jo. You might have read about her in the paper this morning. Jo had a baby around the same time as I did, but after her baby arrived she found out that her leukaemia was back. I know Jo, and I also know that it’s going to take finding a donor to help her get well. And this is the bit where we can make a difference to her, but potentially to lots of other people too. Here’s how. Go out and give blood, and when you do, ask to be added to the bone marrow donor registry. Because of a whole range of complexities, I’m told that if you’re a man with ancestry other than European, you’re most likely to be added to the list because that’s where the greatest need is. So please, spread the word. You could help save a life.||
12/10/2018, 22:51  || others || Jacinda Ardern || I have no idea why I am making this particular gesture to William Shatner, but I do know I was very excited to be at Rocket Lab today for the opening of their new factory. Thanks Peter and all the team, you are doing incredible things.||
10/10/2018, 14:43  || others || Jacinda Ardern || If you’d told me back in opposition that we’d one day have the chance to do something about loan sharks and predatory lending, this is what my face would have looked like. Thanks @krisfaafoi for your work to put a cap on the amount of interest and fees that can be charged on high cost loans. It will stop families being taken advantage of and from falling into a debt spiral. It’s the right thing to do, and it’s been a long time coming!||
09/10/2018, 16:41  || others || Jacinda Ardern was live. || Few questions from you about fuel prices so thought I would jump online to answer them...||
09/10/2018, 13:28  || others || Jacinda Ardern || It’s been a while since I gave an update on the work to eradicate M. bovis, so here it is.... We’ve had 74 properties infected so far. 36 farms have now gone through the process of having their farms given the all clear and restocked - I visited one of those farms today to talk about their experience. We still have things we need to improve (and we made a few extra announcements on that today) but we’re also still very committed to eradicating Mycoplasma Bovis.||
08/10/2018, 16:37  || others || Jacinda Ardern || Every year I am faced with a dilemma - what to pop on the front of the ol’ annual Christmas card. This year I’d love the help of kids. If you know any children who need some school holiday entertainment, they can send me their best drawing or colouring in effort to: Jacinda Ardern, Freepost Parliament, Private Bag 18 888, Parliament Buildings, Wellington 6160 - that's a freepost address, so you don't need to put a stamp on the envelope. ... See more||
05/10/2018, 21:29  || others || Jacinda Ardern || The wonderful Jenny Morris was inducted into the NZ music hall of fame at the APRA Silver Scrolls last night. For all those kids of the 1990s, @ladyhawkeforyou ‘s tribute was too good not to share!||
05/10/2018, 19:11  || others || Jacinda Ardern || This is a must visit - the Sustainable Coastlines flagship down at Wynyard Quarter in Auckland. They have created a living building with the help of 2,000 volunteers including those in our corrections system who learnt new construction skills along the way and businesses who gave in kind assistance. The result is a facility where Sustainable Coastlines can keep sharing the message around reducing waste and protecting our environment.||
05/10/2018, 14:03  || others || Jacinda Ardern || Chatting about Boccia at the Halberg Games this afternoon. Three days of sport and plenty of friendly regional rivalry. Go well everyone!||
04/10/2018, 15:41  || others || Jacinda Ardern || My first visit to Hobbiton today. They must have heard about my failed attempt to become an extra for the film all those years ago so created a portrait of me as a Hobbit! Also spent the afternoon with community leaders from the Waikato talking about provincial growth fund investment in the area (we’re partnering in a couple of projects in Te Aroha and Waharoa) and met with other business reps in Matamata. Good to be home...||
03/10/2018, 14:03  || others || Jacinda Ardern || Today we announced the details around our research and development tax incentive, met with my Chief Science Advisor to see the great work she’s been doing around the country and caught up with the Mayor of Auckland.||
02/10/2018, 13:58  || others || Jacinda Ardern || To be fair, one layer was spanx and one layer was a pregnancy belly band. #Glamour||
29/09/2018, 14:34  || others || Jacinda Ardern || Meet some of the amazing foreign affairs team who work or are interns for us at the UN. They do an incredible job representing NZ on the world stage. Thanks for the support this week team- you can have your lives back now!||
28/09/2018, 06:40  || others || Jacinda Ardern was live. || About to head into UN general assembly to deliver New Zealand’s statement...||
27/09/2018, 11:01  || others || Jacinda Ardern was live. || Summary of the day!||
26/09/2018, 13:34  || others || Jacinda Ardern || One of the quirky things about the UN General Assembly- there are so many bilateral meetings going on that they’re held in small booths. Open plan diplomacy! Have caught up with leaders from Austria, Colombia, Ireland and Spain to discuss everything from trade to the future of work.||
25/09/2018, 10:08  || others || Jacinda Ardern was live. || A quick update from leaders week at the UN...||
24/09/2018, 16:59  || others || Jacinda Ardern || 24/09/2018, 13:59  || others || Jacinda Ardern || Kicked off day one of Leaders Week at the UN with the Social Good Summit, a bilateral with the Secretary General and a trade function with New Zealanders based here. Will do a quick update on the week ahead tomorrow - apologies if the time of day that I do that is a little uncivilised. Time zones!||
19/09/2018, 13:04  || others || Jacinda Ardern was live. || We just made a significant announcement on the refugee quota...||
19/09/2018, 06:35  || others || Jacinda Ardern || When the Herald asked me to join this photo, I hesitated. They wanted to feature it in the suffrage edition. I was editing that edition and wasn’t too keen to feature much in it. But there aren’t too many places in the world that have had three female Prime Ministers, so we came together. This photo is a tribute to women, but also to New Zealand who put us there.||
19/09/2018, 05:32  || others || Jacinda Ardern || Today is an extraordinary day and it started with an extraordinary opportunity. Thanks @nzherald for the chance to guest edit your special edition celebrating the 125th anniversary of women’s suffrage. I hope I did this huge milestone justice. NB: my role did not extend to news of the day or cover political stories, in case anyone was worried :)||
18/09/2018, 08:48  || others || Jacinda Ardern || Sometimes, I get really excellent mail.||
18/09/2018, 06:57  || others || Jacinda Ardern was live. || Tuesday morning means quick media round....||
16/09/2018, 14:15  || others || Jacinda Ardern was live. || A quick follow up from the launch of our plan with the Co-Leader of the Green Party, James Shaw. Bring your questions!||
16/09/2018, 12:57  || others || Jacinda Ardern was live. || Today, our Government is proud to be presenting our long-term plan for New Zealand. Watch here as we lay out our priorities - and as always, let us know what you think!||
16/09/2018, 10:43  || others || Jacinda Ardern || Getting ready for a speech at 1pm this afternoon which pulls together our priorities as a Government. We’re doing it a little bit differently - but that’s us! Jump on my Facebook page if you’re keen to watch live.||
16/09/2018, 10:34  || others || Jacinda Ardern was live. || A bit of prep before the speech at 1pm today....||
15/09/2018, 18:03  || others || Jacinda Ardern was live. || Big day tomorrow, and here’s why!||
13/09/2018, 18:05  || others || Jacinda Ardern || All of these wonderful people came out to celebrate Suffrage 125 with me in Christchurch this afternoon. So heartening to see a generation of young women celebrating in the city Kate Sheppard called home!||
13/09/2018, 15:59  || others || Jacinda Ardern was live. || Just about to head on stage for a suffrage event in Christchurch!||
12/09/2018, 20:07  || others || Jacinda Ardern || You know your partner has been in the capital too long when he sends you this pic featuring Justin Lester’s craft beer and beard grooming all accompanied by a member of Fat Freddy’s Drop. Peak Wellington.||
11/09/2018, 09:09  || others || Jacinda Ardern || E ng08/09/2018, 21:43  || others || Jacinda Ardern || In amongst everything else going on these last few months, my sister came back after living in London for more than 10 years. She’s my only sibling and I am so happy to have her home....and close enough to steal her clothes again.||
03/09/2018, 20:58  || others || Jacinda Ardern || Highlights from today - announcing $24million for the redevelopment of Wainuiomata High School, and meeting two of the 2000 core public servants who from 1 September are receiving the living wage. This is why we do what we do!||
02/09/2018, 14:58  || others || Jacinda Ardern || Happy Father’s Day to all the new dads, old dads, mum/dads - in fact everyone who helps to raise kids in this wonderful place. This guy celebrated with his pick of fishing lures, and a few smiles from his number one. Winning.||
31/08/2018, 15:34  || others || Jacinda Ardern || If you ever find yourself at a ceremony where your local intermediate is gifted two pianos and Mike Chunn of Split Enz and @playitstrangenz fame is there, I highly recommend pressuring him into playing a song for the whole assembly.||
30/08/2018, 17:28  || others || Jacinda Ardern || Such a treat to present the ODT Class Act Awards of 2018 in Dunedin today. Expecting great things out of this lot!||
29/08/2018, 22:33  || others || Jacinda Ardern || Day in the Bay of Plenty today - big education rebuild annoucement at Otumoetai, spoke at a conference for rangatahi interested in tech, then opened a national avocado conference. Everyone spent the whole day apologising for the weather though...must have forgotten I live in wonderful but rainy Auckland 26/08/2018, 09:08  || others || Jacinda Ardern || This is huge! Congratulations @rosematafeo||
25/08/2018, 23:21  || others || Jacinda Ardern || I feel like I’ve always had an appreciation for the significance of the Bledisloe Cup, but till now I’m not sure I appreciated its actual size! A real treat to hand it over after such a brilliant game.||
25/08/2018, 19:34  || others || Jacinda Ardern was live. || ||
25/08/2018, 13:40  || others || Jacinda Ardern || Had the privilege of joining the @blackferns for their jersey presentation last night. They finished with this...which was pretty phenomenal. Good luck tonight, we’re right behind you!||
23/08/2018, 12:20  || others || Jacinda Ardern || Spent the morning with @davidclarkmp at Auckland Hospital where we announced that we’re putting $275million into much needed infrastructure like boilers, generators, lifts and water systems across Greenlane, Starship and Auckland City Hospital. Some of the potential efficiency savings are huge, but so are the risks if we don’t invest in such important assets. This announcement also came with the added excuse to see the new friends I made here a couple of months ago, and to say thanks!||
21/08/2018, 20:26  || others || Jacinda Ardern || Today a plane flew into Auckland carrying 27 New Zealanders who died between 1954 and 1969 during the time of the Malayan Emergency or the Vietnam War. They were buried thousands of miles away but today in an incredibly moving service, they were finally returned to their loved ones. Ka maumahara tonu t17/08/2018, 11:25  || others || Jacinda Ardern || Tomorrow is a bit of a milestone for our world champion Black Ferns...||
15/08/2018, 22:40  || others || Jacinda Ardern || I was sitting in a meeting as I saw a stream of teachers reach the steps of parliament today. They were there to send us a message, so I went down to hear it. Yes we have issues to resolve, but I absolutely believe we can do that together.||
10/08/2018, 18:05  || others || Jacinda Ardern || After a big push from the public, and some huge changes by business and retailers, today we announced that we will be phasing out single use plastic bags in NZ. Big thanks to Minister Eugeine Sage and the @nzgreenparty for all the work on this one, and to every young person who wrote to me about it. Every letter counted!||
10/08/2018, 10:41  || others || Jacinda Ardern was live. || An announcement in Lyall Bay today!||
09/08/2018, 11:36  || others || Jacinda Ardern || It was seven years ago (from opposition) that we first talked about supporting more young people into work and training by giving the equivalent of the dole to an employer who provides them with work, a wage, and training. Today we made it a reality!||
09/08/2018, 11:16  || others || Jacinda Ardern was live. || Just finished launching Mana in Mahi- Strength in Work...here are a few details!||
07/08/2018, 06:12  || others || Jacinda Ardern || And we’re straight back into it. Quick photo before cabinet yesterday.||
01/08/2018, 10:06  || others || Jacinda Ardern || A year ago today I became the leader of the Labour Party. Two things stand out - how fast a year can feel even when a huge amount changes, and just how lucky I am. I have the privilege of working alongside amazing people everyday. So to them- thank you and see you soon!||
29/07/2018, 14:20  || others || Jacinda Ardern was live. || A quick hello as we get ready to come back!||
01/07/2018, 12:57  || others || Jacinda Ardern was live. || Today is the day the families package comes in... couldn’t help but share a few thoughts from the couch!||
24/06/2018, 11:44  || others || Jacinda Ardern was live. || As we head home we just wanted to say thanks, from the bottom of our hearts.||
23/06/2018, 21:36  || others || Jacinda Ardern || So saddened to hear of the passing of Koro W22/06/2018, 15:26  || others || Jacinda Ardern || One of the many special people we have been so grateful for over these past few months, our wonderful midwife Libby. Not only is she incredible at what she does, this morning she made me macaroni and cheese because she heard me mention a wee craving yesterday. Thank you so much for everything Libby!||
21/06/2018, 18:14  || others || Jacinda Ardern || Welcome to our village wee one. Feeling very lucky to have a healthy baby girl that arrived at 4.45pm weighing 3.31kg (7.3lb) Thank you so much for your best wishes and your kindness. We're all doing really well thanks to the wonderful team at Auckland City Hospital.||
18/06/2018, 17:53  || others || Jacinda Ardern || No more flying means teleconferences, a lot of phone calls, and a Monday visit to the electorate office to catch up on a few bits and pieces. If you haven’t met them before, this is Therese and Barbara and they are exceptional human beings. I feel very lucky to have them in our Mt Albert office! #PMfromSandringham #waiting||
16/06/2018, 20:47  || others || Jacinda Ardern || Even though this is the usual weekend bag of reading and papers, I never get tired of the section dedicated to children’s letters that have arrived that week. Total highlight!||
16/06/2018, 08:03  || others || Jacinda Ardern || The end of a busy week and somehow I missed mentioning three highlights. First was announcing that we’re supporting the Auckland City Mission with more than $16 million in funding to build a new housing facility that will have dedicated detox beds (30 of them...Auckland currently only has 20 in total!) The second was announcing that we’re making sure all employees in the core public service will at least earn the 2018 living wage. And the last one? Seeing my niece! Have a great weekend everyone!||
14/06/2018, 17:57  || others || Jacinda Ardern || The @fieldaysnz have changed a bit since I went as a kid growing up in Morrinsville! Thanks to everyone who looked after us today. My highlight - seeing the focus on innovation and the next generation!||
13/06/2018, 19:18  || others || Jacinda Ardern || Thank you so much to the Morrinsville Knitting Circle (the Morrinsville Knitter Knatters!) for the amazing hand made blanket! Such a lovely surprise to arrive home to. Next stop, @fieldaysnz||
12/06/2018, 18:03  || others || Jacinda Ardern || Our Minister for Civil Defence just sent me these images from Gisborne, and last night @whaitirimeka sent me through reports of what she was seeing and hearing on the ground. The local Civil Defence team have been doing a huge job and after last night it just got bigger. We’ve declared a medium scale event given the damage around Tolaga Bay especially, and that will help us get practical assistance to where it’s needed. In the meantime, thinking of everyone who has been impacted by this one.||
12/06/2018, 15:30  || others || Jacinda Ardern || Introducing our new Chief Science Advisor, Professor Juliet Gerrard! Professor Gerrard is a biochemist, the Associate Dean of Research at Auckland Uni and used to chair the Marsden Fund amongst many other things. In the short time I’ve been PM I’ve formed a huge appreciation for the network of science advisors Sir Peter Gluckman has created (thanks for your work Sir Peter!) and I know it will only continue to go from strength to strength under Prof Gerrard. Looking forward to working with you and the team, Juliet!||
08/06/2018, 17:07  || others || Jacinda Ardern || If you’re looking for some mid morning motivation, I highly recommend spending an hour with a few entrepreneurs and start ups, listening to their ideas and successes. So heartening that every single one is working on things that will/are having a positive impact on our communities. Thanks @cocoscantina for organising and hosting!||
07/06/2018, 15:27  || others || Jacinda Ardern || Quick visit today with Shanan, our candidate for the Northcote By-election. If you live that way and haven’t voted yet, you have till Saturday evening!||
07/06/2018, 08:46  || others || Jacinda Ardern || Meant to post this last week when I was given a few surprise gifts from the team on the AM show, including this from Mark Richardson. Well played Mark, well played.||
05/06/2018, 18:00  || others || Jacinda Ardern || Live in Northcote? Voting in the by-election? Join our Facebook live at 6.30pm tonight with me and our candidate Shanan Halbert!||
04/06/2018, 07:29  || others || Jacinda Ardern || “The rebel’s got their medals.” Loved hearing the Topp Twins talking this morning about becoming Dames and that accepting the award was “the most political thing we have ever done. All the protests have been worth it. The nuclear free issues, the Springboks, the Homosexual Law Reform... it’s an honour to say we told the truth and we were right.”||
01/06/2018, 12:21  || others || Jacinda Ardern || Day up North starting with Whangarei where we announced more social and state housing, work on safety and transport improvements, and $10mill to help deliver the Huntertwasser Arts Centre and Wairau Maori Art Gallery. Just the construction period alone will create 60 jobs and once it’s done, it will attract as many as 200,000 visitors and $26million in economic benefits to the area. Win win! Now off to Kaikohe...||
31/05/2018, 14:14  || others || Jacinda Ardern || Visit to Newton Central School, the opening of the new playground at Learning at the Point Kindergarten in Pt Chev and a community morning tea - all made for a wonderful day!||
30/05/2018, 19:04  || others || Jacinda Ardern || A little closer to home today! Out campaigning with @shananhalbert our candidate for the Northcote by-election and a visit to Western Springs College and their massive redevelopment!||
