 TIME || TYPE  || TITLE || STATUS  ||   LINKS(Shared Posts/Shared Links etc) 
26/11/2018, 13:57 || others || Paula Bennett || Fabulous day in Upper Harbour with Judith Collins. || 
26/11/2018, 12:10 || others || Paula Bennett ||  || 
25/11/2018, 22:57 || others || Paula Bennett ||  || 
25/11/2018, 22:48 || others || Paula Bennett || Great policy day today with the northern national party. Getting ready for 2020! || 
23/11/2018, 18:06 || others || Paula Bennett || Loved spending the afternoon supporting the Massey High Foundation || 
21/11/2018, 11:16 || others || Paula Bennett || #Watch Simeon Brown MP on Breakfast this morning discuss the Labour-led Government's fees-free policy. Fees-free has cost taxpayers $2.8billion and it hasn't performed. The Minister needs to admit that his flagship policy is a failure and redirect the billions of dollars to where it’s actually needed. || 
20/11/2018, 17:38 || others || Paula Bennett || They get an F. || 
19/11/2018, 13:47 || others || Paula Bennett || And just like that costs of living takes another hit with the rise of rent, hurting New Zealand's lower income families the hardest. When will it end? || 
17/11/2018, 13:35 || others || Paula Bennett || Early morning opening the new coastal walkway at Hobsonville Point te ara Manawa. Check it out, it’s beautiful. thank you @ngatiwhatua. || 
15/11/2018, 11:39 || others || Paula Bennett || We’re making sure we do the work in Opposition so we’ll have the plans and policies in place should we earn the right to govern again in two years' time. We want to hear your thoughts and ideas so we’re ready to go in 2020! || 
09/11/2018, 12:00 || others || Paula Bennett added 2 new photos from 9 November 2018. || I had an incredible time sharing my experiences to a group of hard working women. Thank you Financial Services Federation for having me! || 
09/11/2018, 09:55 || others || Paula Bennett || Just finished a business breakfast with Paul Goldsmith and took the opportunity to catch up with Jordan my Youth MP. || 
08/11/2018, 14:40 || others || Paula Bennett ||  || 
08/11/2018, 12:08 || others || Paula Bennett || I'm pleased to announce that my Youth MP for 2019 is Jordan Lapish. Jordan is from Massey. Next year he is going to study Law and International Relations at Victoria University of Wellington. Jordan has been interested in politics from a young age, and is very excited to learn more about the political process and the role of Government in NZ. Jordan is of British and Maori (Ngapuhi and Ngati Raukawa) descent and his hobbies include drama and genealogy. I think this will be so... See more || 
07/11/2018, 16:55 || others || Paula Bennett || Here's what we know to date. I do this to help the Minister of Immigration, because we seem to know more about the Karel Sroubek case than he does and it's time he took account for it. || 
28/10/2018, 20:54 || others || Paula Bennett is with Chris Penk. || Wonderful time at the Diwali celebration out west with the Waitakere Indian association || 
15/10/2018, 09:16 || others || Paula Bennett || The kerer11/10/2018, 14:07 || others || Paula Bennett || Vote for the Kerer05/10/2018, 17:22 || others || Paula Bennett || Had the privilege meeting Hunter who has a unique perspective. I now know a bit more about autism and am excited to see what the future holds for Hunter. A big thank you to Attitude for organising such a fun expierence! || 
24/09/2018, 19:54 || others || Paula Bennett || At the Indian business awards sponsors dinner. Wonderful to welcome and support them. || 
24/09/2018, 19:30 || others || Paula Bennett || A special look at a beautiful part of my electorate! Loved getting a sneak peak at The Block NZ houses. || 
23/09/2018, 10:03 || others || Paula Bennett || Popped in last night I celebrate the waitemata bridge clubs 50th with Linda Cooper. || 
21/09/2018, 13:22 || others || Paula Bennett || Fantastic to be at the opening of new social homes opening in Moire Road under Visionwest. We started this development, it’s great to see people living in them. It is a partnership of private, public and community. 30% of the homes in this development will be social. I believe in the mixed housing model and am excited this one is happening in my electorate. || 
19/09/2018, 09:10 || others || Paula Bennett || It's important to remember the women and men who fought for our right to vote. #Suffrage125 || 
18/09/2018, 10:41 || others || Paula Bennett || Cabinet Ministers have used the term "Labour-led Government" 49 times so far in Parliament this term. What's changed recently?? || 
13/09/2018, 18:07 || others || Paula Bennett || New Zealand deserves to know the position of the Labour-led Government in regards to the Employment Relations Amendment Bill. Today I asked this question in the house and Winston Peters failed to answer. || 
11/09/2018, 12:06 || others || Paula Bennett || I didn't grow up speaking M11/09/2018, 10:18 || others || Paula Bennett || Is there such a thing as too much leopard print? || 
05/09/2018, 21:11 || others || Paula Bennett || Didn't plan on standing up here and starting my general debate speech like this, but actually, the fact that Clare Curran so poorly answered her question and with such obvious discomfort, one has to simply call it out for what it is. || 
04/09/2018, 18:47 || others || Paula Bennett || Another notch on Employment Minister Willie Jackson's belt where he has gotten his facts wrong AGAIN! This time in the house during question time. Like I said, platitudes don't work, getting your facts right and hard work does. || 
04/09/2018, 14:00 || others || Paula Bennett || It’s day one in the house and I’m ready to hold this Government to account! || 
03/09/2018, 16:48 || others || Paula Bennett || Employment Minister Willie Jackson is wrong of almost every stat he cites in this interview. There's no excuses for not being across his portfolio 10 months in. Platitudes don't work, getting your facts right and hard work does. Credit: Newshub Nation. || 
03/09/2018, 12:19 || others || Paula Bennett || Had a great meeting today with young women from my local high schools of Massey, Glenfield and Hobsonville point. We discussed everything from gender issues, leadership, mental health and how interventionist the State should be. A really smart and intelligent debate! || 
31/08/2018, 15:13 || others || Paula Bennett || It’s been a fantastic day in the great electorate of Upper Harbour with a morning tea in Glenfield and now collecting for Daffodil Day by Westgate! We’re out here rocking the silver! || 
31/08/2018, 14:36 || others || Paula Bennett || Meetings today in the electorate. I especially enjoyed morning tea at the Glenfield War Memorial Hall. So lucky to have historic buildings for use in the electorate.Thanks for joining me, if you were there. || 
30/08/2018, 11:44 || others || Paula Bennett || I was honoured to meet some Upper Harbour constituents yesterday for morning tea. Good to speak with constituents with a little more life experience under their belt. I enjoy hearing their views on our community and country. Looking forward to meeting more on Friday. || 
28/08/2018, 16:39 || others || Paula Bennett || Parliament may be in recess but in Wellington today for a range of meetings. || 
28/08/2018, 10:35 || others || Paula Bennett || This Government continues to outsource its job to working groups and reviews - it's now commissioned over 150 of them - that's one every two days. What's more it's costing at least $170 million and that's with a third of them still to be costed. That's money that should have been invested in areas like health and education. || 
23/08/2018, 17:08 || others || Paula Bennett || Loved being on The Project last night talking about being in the spotlight as a politician, my transformation, and how I'm still the same person. Watch it below 21/08/2018, 10:54 || others || Paula Bennett || Yesterday I had a great time visiting New Plymouth with Jonathan Young MP. Our day included a stop in at WITT, attended the local careers day and spoke to a working lunch for women in business and leadership. Had such wonderful time, thanks for having me New Plymouth! || 
21/08/2018, 09:39 || others || Paula Bennett updated their cover photo. ||  || 
16/08/2018, 08:02 || others || Paula Bennett is with Alan Towers and 3 others. || Had a lovely evening last night with NZ India Trade Alliance at a black tie event celebrating Indian Independence Day. Wore a sari for the first time. Dressed by Parmjeet Parmar! || 
14/08/2018, 19:07 || others || Paula Bennett || #LIVE I'm asking Simon Bridges a few questions. Tune in - and post any questions below! || 
13/08/2018, 08:18 || others || Paula Bennett || Chilly start to the morning, but it hasn’t stopped people coming out to listen to Hon Scott Simpson speak about the effects of the proposed changes to employment law in New Zealand. || 
09/08/2018, 12:08 || others || Paula Bennett || Freedom of speech, tolerance of dissent, and respect for democracy are core Kiwi values worth fighting for and these values are under threat. #WATCH as Simon Bridges explains how every single legal expert submitted against the so-called Electoral (Integrity) Amendment Bill, and the Greens say it goes against their principles and policies, so why are they allowing themselves to be pushed around over it? We believe voters should be the only ones to be able to dismiss MPs and that's in an election. || 
08/08/2018, 21:43 || others || Paula Bennett || We had a bit of fun between meetings today after Amy Adams MP and Denise Lee MP came in on crutches! || 
07/08/2018, 21:32 || others || Paula Bennett || Lucky enough to have spent the last 24 hours in Queenstown. Had a series of meetings but the highlight was speaking at the St Johns conference. They are amazing people, passionate about their communities and their organisation. Thank you for having me! || 
04/08/2018, 18:26 || others || Paula Bennett is with Alfred Ngaro and Linda Cooper. || Great to spend time today with CPNZ (community patrols) I love being patron of Henderson. Alfred Ngaro and Linda Cooper joined us too || 
01/08/2018, 11:30 || others || Paula Bennett || On Tuesday, Hobsonville School held a Logo Launch Celebration Day. It was great my office were able to share the morning p30/07/2018, 10:50 || others || Paula Bennett || I'm a new recruit of this fantastic organisation and we need more recruits. Please watch the video and contact CPNZ Massey if you are keen to volunteer. || 
29/07/2018, 17:32 || others || Paula Bennett updated their cover photo. ||  || 
29/07/2018, 14:23 || others || Paula Bennett || “We’ve got a new team and new ideas to take New Zealand into the future. We're listening. We're thinking. And we'll be ready to govern by 2020” -- Simon Bridges. || 
26/07/2018, 16:35 || others || Paula Bennett was live. || #LIVE Join Paula Bennett, Louise Upston and Dr Shane Reti as they discuss this week's hottest topics. || 
12/07/2018, 19:35 || others || Paula Bennett || I met Ola Bennett on her 86th birthday yesterday and she asked for the two Bennett girls to get a photo together! Lovely to have met her || 
12/07/2018, 19:30 || others || Paula Bennett || Great couple of days in Christchurch with Nicky Wagner. Interesting people and amazing weather went to ARA, Canterbury University, Sister’s of Nazareth and papanui youth development trust || 
11/07/2018, 11:45 || others || Paula Bennett || Good turnout at the meeting I held last night about the End of Life Choice Bill. Thanks for coming out on a cold night to share your views. || 
10/07/2018, 17:41 || others || Paula Bennett ||  || 
05/07/2018, 12:55 || others || Paula Bennett ||  || 
04/07/2018, 16:43 || others || Paula Bennett || What a priveledge to have Reid and Hunter from Dilworth College join me yesterday to get insight into what it's like to be an MP. Watch this space, they are going places! || 
03/07/2018, 21:40 || others || Paula Bennett || What a great maiden speech from our newest member of Parliament, Dan Bidois MP. Great to have such a strong caucus to hold this Governemnt to account! || 
29/06/2018, 13:02 || others || Paula Bennett || Grandparents raising grandchildren are an incredible organisation, I have been a fan of theirs for the last 9 or 10 years. Today they moved into new premises. I was honoured to be invited || 
28/06/2018, 17:12 || others || Paula Bennett ||  || 
27/06/2018, 14:53 || others || Paula Bennett || It’s official!! Dan Bidois MP sworn in today and what a great MP for Northcote he is going to be. || 
23/06/2018, 11:46 || others || Paula Bennett || Yesterday I was made an honorary member of community patrol Massey. I’m rapt except it doesn’t come with a taser || 
23/06/2018, 11:45 || others || Paula Bennett || Great to hang with the northern Nats today at a conference in Dan Bidois’ northcote. || 
20/06/2018, 17:33 || others || Paula Bennett || Andrew Little is one that's really up my goat at the moment. He has the audacity to stand in this House and say that a sexual assault against a Corrections female officer is a low-level assault. Shame on him and shame on the women of Labour who sit back and let him make those statements. || 
18/06/2018, 16:29 || others || Paula Bennett || ADD YOUR VOICE: In just a few days, Aucklanders will be paying up to $15 more to fill up their cars when the regional fuel tax comes into effect. But motorists in Wellington, Christchurch, Tauranga and Hamilton could also soon be paying 11.5c a litre more for their fuel with this new tax. That's going to hit Kiwis hard in their back pockets. SIGN OUR PETITION: www.stopthefueltax.co.nz || 
18/06/2018, 10:56 || others || Paula Bennett || Had a lovely afternoon yesterday at Ten a fundraiser for Mercy Hospice. What an amazing job they do. || 
15/06/2018, 16:15 || others || Paula Bennett ||  || 
15/06/2018, 14:44 || others || Paula Bennett || Happy Matariki!! || 
15/06/2018, 10:04 || others || Paula Bennett || No level of indecent assault is ever acceptable. #itsnotok || 
13/06/2018, 10:38 || others || Paula Bennett || Welcome aboard Dan! || 
10/06/2018, 19:18 || others || Paula Bennett || I’ve gotten to know Dan Bidois well over the last couple of months, he is a man of integrity and intelligence and knows the value of hard work. He is going to be an outstanding member of parliament not just for Northcote but he will make a contribution to all of NZ. He has worked so hard and so has a huge team alongside him over the last 8 weeks. We knocked on 18000 doors, delivered 70000 fliers, hand wrote on 32500 envelopes stuffed and delivered them, we had 350 signs, did ... See more || 
08/06/2018, 17:41 || others || Paula Bennett || Last day campaigning. If you live in the northcote electorate you have until 7pm tomorrow to vote for Dan Bidois!! || 
06/06/2018, 20:47 || others || Paula Bennett || Out tonight supporting Dan Bidois. It was freezing but the toots and thumbs up warms the heart!! 3 days to go, you can vote now || 
03/06/2018, 19:20 || others || Paula Bennett || Another big day campaigning in northcote supporting National candidate Dan Bidois. So many MPs and volunteers knocking on doors, delivering letters, waving signs and talking to people on the streets || 
01/06/2018, 14:25 || others || Paula Bennett ||  || 
29/05/2018, 11:42 || others || Paula Bennett || Shout out #danbidois || 
29/05/2018, 11:27 || others || Paula Bennett || Visiting Glenfield College, hosted by head girl and boy Nicole and Philippe || 
28/05/2018, 09:17 || others || Paula Bennett updated their profile picture. ||  || 
25/05/2018, 11:06 || others || Paula Bennett created a poll. || It's time to update the photo I use for business cards, press releases and Facebook. You get to vote!! #democracyinaction || 
24/05/2018, 11:35 || others || Paula Bennett || #Watch my Budget Debate speech in the House yesterday. Is this the best they can do? A Budget of broken promises? || 
23/05/2018, 17:19 || others || Paula Bennett ||  || 
23/05/2018, 09:21 || others || Paula Bennett || #squadgoals #downwiththeyouth || 
21/05/2018, 17:35 || others || Paula Bennett || This Ardern-Peters Government is putting the squeeze on middle New Zealand and making it harder for people to get ahead. Their new taxes and bad spending – on everything from creating more than 100 working groups to prioritising diplomats over doctors – is ramping up costs and taking more money out of the back pockets of hardworking New Zealanders. Let’s also not forget the Government cancelled National's Family Incomes Package which would have ensured workers on the average wage were able to keep more than $1000 of their own money every year. The Government says it knows better how to spend that money but its track record and priorities prove otherwise. || 
20/05/2018, 15:44 || others || Paula Bennett is with Te Haua Taua and 2 others. || Another big day campaigning thanks to the great team that came out today. Dan Bidois isn’t in the photo cause he wanted to keep doorknocking instead of stopping for lunch!! || 
20/05/2018, 09:21 || others || Paula Bennett is with Noah Atchison-Darby and 3 others. || Great day yesterday out with Dan Bidois and a great team of supporters talking to voters. Voting starts 28 May and Election Day is 9 June. Here’s some of us taking a lunch break at Glenfield || 
19/05/2018, 18:38 || others || Paula Bennett || Out campaigning dan4northcote today and met the lovely Sophie || 
18/05/2018, 13:18 || others || Paula Bennett || Wearing pink today to support Pink Shirt Day Aotearoa! Speak up. Stand together. Stop bullying. || 
18/05/2018, 10:36 || others || Paula Bennett || Simon's speech in the House yesterday in response to the Government's Budget that is full of broken promises was awesome. Didn't realise that I expressed it quite this much.... https://www.tvnz.co.nz/…/watch-paula-bennetts-brilliant-fac… || 
17/05/2018, 14:51 || others || Paula Bennett || Today’s #Budget2018 is strewn with broken promises. Watch #LIVE as Simon Bridges responds to the Government’s Budget below: || 
17/05/2018, 11:07 || others || Paula Bennett ||  || 
16/05/2018, 17:44 || others || Paula Bennett ||  || 
16/05/2018, 09:39 || others || Paula Bennett ||  || 
13/05/2018, 17:30 || others || Paula Bennett || Happy Mother's Day to all the mums, stepmums and honorary mums out there! Enjoy the ride motherhood brings! || 
13/05/2018, 12:26 || others || Paula Bennett || Simon Bridges is a husband, dad and politician. #Watch this for a bit of an insight into his background, what makes him tick and how his strong family values helped shape who he is today. || 
11/05/2018, 15:59 || others || Paula Bennett || Today I spoke to a group at EY in Auckland about my journey and experiences as a woman in politics. It was a fun morning! || 
10/05/2018, 17:20 || others || Paula Bennett || This morning I popped up to Vic Uni’s Kelburn campus and talked with Grant Guilford about what’s going on the tertiary sector. || 
09/05/2018, 12:44 || others || Paula Bennett ||  || 
09/05/2018, 09:35 || others || Paula Bennett || Yesterday I had the pleasure of speaking at the Freemasons University Scholarships presentation here at Parliament. It was great to meet the worthy recipients! || 
03/05/2018, 17:54 || others || Paula Bennett || With the recent return of Maureen Pugh and the swearing in of Nicola Willis, the New Zealand Parliament now boasts the highest proportion of women in its history! Yesterday Nicola Willis delivered her Maiden Speech at Parliament- have a listen below to learn more about our newest MP || 
30/04/2018, 18:51 || others || Paula Bennett || This me and Dylan a few hours later at the young nats ball. Dryer and a bit spruced up! || 
28/04/2018, 19:06 || others || Paula Bennett || Out with Dylan campaigning for Dan Bidois today. Wet and cold!!! || 
27/04/2018, 12:16 || others || Paula Bennett || Attended the signing of the lease for the Leataata O Le Lumanai Samoa Trust in Massey in my electorate. Awesome to see progress being made. Thanks to the Council || 
27/04/2018, 06:43 || others || Paula Bennett is with Ben Amps and Amber Davis. || I was lucky last night to interview Greg Murphy and MC a master builders dinner raising funds for Kidscan. A hugely successful evening. Many thanks to all those involved || 
25/04/2018, 06:33 || others || Paula Bennett || On Anzac Day we remember the commitment and sacrifice others have made to establish the free land we live in today. We honour all those who have served our country between those fateful days at Gallipoli and the Western Front right through to present day. || 
23/04/2018, 18:44 || others || Paula Bennett || #WATCH: Join us for a live chat now. || 
23/04/2018, 16:42 || others || Paula Bennett || Join us for live chat tonight at 6:30pm on Dan’s Facebook page. || 
20/04/2018, 09:51 || others || Paula Bennett || Just how much are these working groups costing New Zealand taxpayers? This money could be better spent on more health, education, and other essential public services. || 
16/04/2018, 09:26 || others || Paula Bennett || Congratulations to Dan Bidois who has been selected as National's candidate for the Northcote by-election! || 
12/04/2018, 16:21 || others || Paula Bennett || I just feel gutted that the Ardern-Peters Government has today blindsided regions and industry with its decision to ban gas and petroleum exploration. It is economic vandalism that makes no environmental sense and it's going to be devastating for some of our regions like Taranaki. || 
11/04/2018, 13:10 || others || Paula Bennett || I had a great catch up with U.S Ambassador Scott Brown this morning. We also did well to colour coordinate our outfits! || 
10/04/2018, 14:35 || others || Paula Bennett || #WATCH: Our brand new "Let's Tax This" ad highlights Labour’s double whammy of national and regional fuel tax increases, which will hit hard-working Kiwis in the pocket. || 
08/04/2018, 20:41 || others || Paula Bennett || Had a lovely birthday tonight with friends from Upper Harbour. They got me this amazing cake! || 
05/04/2018, 17:17 || others || Paula Bennett || Great to meet with Jonathan Gee and Melissa Evans, National President and Vice President of the NZ union of students assoc today || 
04/04/2018, 16:32 || others || Paula Bennett || Welcome aboard Nicola Willis! || 
03/04/2018, 13:37 || others || Paula Bennett ||  || 
01/04/2018, 17:19 || others || Paula Bennett || My Easter summer cake. Thanks to helen || 
31/03/2018, 11:17 || others || Paula Bennett || In my happy place this morning. Out for a couple of hours, sun shining, calm sea. I caught 3 snapper, 1 trevally, 7 kahawai and our skipper caught a kingfish. Yum || 
28/03/2018, 17:24 || others || Paula Bennett || Watch this if you have time for a laugh. I spent the afternoon with Anika Moa and it was an absolute roller coaster! || 
26/03/2018, 16:12 || others || Paula Bennett || Fantastic having a look around the development at Moire Road in my electorate. Built by Fletcher's and a combination of community houses and private sales. Really fast build and really impressive, started and consented under the National Government, half expect Twyford to reannounce them as his! || 
25/03/2018, 17:29 || others || Paula Bennett || At the meadowood community neighbours day || 
23/03/2018, 16:30 || others || Paula Bennett || Nice to see these two at my local café this morning! Tom Sainsbury - Comedian and Snapchat Dude Chris Parker || 
22/03/2018, 09:37 || others || Paula Bennett || Yesterday Alfred Ngaro MP lodged three Supplementary Order Papers (SOPs) seeking to give some teeth to the proposed law to reduce child poverty. || 
21/03/2018, 17:34 || others || Paula Bennett || My message to the Government today was that their words matter and their actions after those words really matter. #WATCH my speech in the General Debate || 
21/03/2018, 11:52 || others || Paula Bennett ||  || 
20/03/2018, 15:24 || others || Paula Bennett ||  || 
18/03/2018, 19:33 || others || Paula Bennett || Great night last night at Tihoi at the local school fundraiser what a great community with their amazing local MP Louise Upston || 
15/03/2018, 17:15 || others || Paula Bennett || Cray cray. 15/03/2018, 14:29 || others || Paula Bennett || Yesterday I was lucky enough to attend the official opening of the upgraded Chatham Islands Waitangi Wharf along with fellow National MP Christopher Finlayson. The Chatham Islands relies heavily on shipping for many essentials items so the upgraded wharf is a huge asset for the community. It was a really special day in a unique and beautiful part of the country. I got to meet some wonderful people and sample some amazing local seafood! || 
15/03/2018, 11:03 || others || Paula Bennett || Meet our strong, enthusiastic and talented team of 56 National Party MPs ready to hold this Ardern-Peters Government to account. We're also looking ahead to 2020 with fresh ideas and policies to keep New Zealand moving forward. || 
13/03/2018, 12:34 || others || Paula Bennett || Here's my opinion piece from today's Stuff. Saying one thing and doing another is a hallmark of this Ardern-Peters Government and the cracks are beginning to show. || 
12/03/2018, 18:00 || others || Paula Bennett || Straight into business! Our new front bench met into Wellington today and talked about how we'll hold this Ardern-Peters Government to account - with Simon Bridges and Amy Adams. || 
12/03/2018, 13:24 || others || Paula Bennett || Another busy weekend for the National Party team! || 
12/03/2018, 09:26 || others || Paula Bennett || I am excited to take on a new challenge as the National Party spokesperson for Tertiary Education, Skills and Employment. We have a strong and enthusiastic team ready to hold this Ardern-Peters Government to account. || 
11/03/2018, 14:35 || others || Paula Bennett || Watch as I join Simon Bridges to announce the new Caucus line-up. || 
11/03/2018, 12:55 || others || Paula Bennett ||  || 
11/03/2018, 09:35 || others || Paula Bennett || End to fishing comp at prizegiving last night. Mexican theme, everyone in costume. And WE WON. Great couple of days #lovenz || 
11/03/2018, 07:42 || others || Paula Bennett || It was so much fun meeting Tom Sainsbury - Comedian and Snapchat Dude 10/03/2018, 11:45 || others || Paula Bennett || Just tagged released a 110kg striped marlin in some of the worst sea conditions. Swallowing salt water, throwing up but kept winding! And yes some of us call this fun! || 
10/03/2018, 07:38 || others || Paula Bennett || Ready to rock n roll || 
09/03/2018, 20:07 || others || Paula Bennett || So, currently first equal in the fishing comp. My team mate caught a 100kg marlin, tag and release. Fantastic day and have just stopped for the night at whangaroa bay || 
09/03/2018, 10:07 || others || Paula Bennett || Ok I'm on my way. And they even put me in charge of the boat for a while!!! || 
09/03/2018, 08:49 || others || Paula Bennett || Wish me luck! || 
08/03/2018, 16:06 || others || Paula Bennett || Happy International Women's Day! || 
08/03/2018, 10:03 || others || Paula Bennett || It’s International Women’s Day and I stand proud alongside my fellow wahine as a mother, a grandmother, a politician, a wife and a fisherman (in no particular order) as an example of what we can do and what we can be given the opportunities. || 
07/03/2018, 21:33 || others || Paula Bennett is with Denise Lee. || Lovely evening meeting with a group of business people and curious alpacas. Guest speakers were Denise Lee and Mark Mitchell. || 
06/03/2018, 20:25 || others || Paula Bennett || At my AGM with the wonderful Nikki Kaye as guest speaker. #lovenational || 
06/03/2018, 16:56 || others || Paula Bennett || Steven has had an amazing career in politics, he has worked incredibly hard and made a hugely positive difference to New Zealand. I have thoroughly enjoyed working alongside Steven over the years and I am sad to see him go. All the best for your next adventure! || 
04/03/2018, 12:32 || others || Paula Bennett || Quick coffee and catch up with Simon in Auckland after his appearance on Q&A this morning. He paid! || 
02/03/2018, 15:33 || others || Paula Bennett || This week I had a very special visit from Hannah Shand Art. If you have seen the Tom Sainsbury - Comedian and Snapchat Dude videos you'll know that I am a huge fan of the Kereru, so I was very excited when Hannah got in touch about the beautiful drawings she is doing and even hand delivered this pair of Kereru to Parliament! It was lovely to meet you Hannah, your drawings and prints are amazing. || 
02/03/2018, 09:50 || others || Paula Bennett || Yesterday I said farewell to a friend, mentor and amazing New Zealander. Bill's valedictory speech was insightful, funny and poignant, it's not often you wish a 45 minute speech was longer. I will miss him, New Zealand will miss him. || 
01/03/2018, 20:58 || others || Paula Bennett ||  || 
01/03/2018, 08:26 || others || Paula Bennett || Last night I took the part in a Women in Politics panel organised by the Victoria University Politics Society. We shared our experiences and advice and answered some really thought provoking questions from the audience. A really great event. || 
27/02/2018, 17:29 || others || Paula Bennett updated their cover photo. ||  || 
27/02/2018, 16:25 || others || Paula Bennett || Congratulations to Simon Bridges MP, the new Leader of the National Party! || 
27/02/2018, 13:06 || others || Paula Bennett || Incredibly thrilled and humbled to have been re-elected as Deputy Leader of the National Party. I am excited to work alongside our new Leader Simon Bridges MP || 
22/02/2018, 16:38 || others || Paula Bennett || Louise Upston MP, Tim Macindoe MP and I met with TOAH-NNEST this morning. They do some great work so it was good to hear about their current projects. || 
22/02/2018, 08:18 || others || Paula Bennett || It beggars belief that Prime Minister Jacinda Ardern yesterday admitted she has no idea whether her Education Minister, Associate Education Minister or Employment Minister have declared actual or perceived conflicts of interest in relation to partnership schools. || 
21/02/2018, 15:47 || others || Paula Bennett || Well said! || 
20/02/2018, 16:23 || others || Paula Bennett ||  || 
16/02/2018, 20:13 || others || Paula Bennett is in Glenfield, New Zealand. || Great evening at Bay View Community meet the neighbours in my electorate. || 
16/02/2018, 11:55 || others || Paula Bennett || The Government says it wants to help vulnerable children – so why is it so determined to shut down the very schools helping many of those kids achieve success? Because make no mistake, shutting them down is exactly what their legislation aims to do. || 
15/02/2018, 16:30 || others || Paula Bennett || My red bands don’t get much of an outing so thought I would wear them to acknowledge the Southern Field Days. Go our farmers! || 
15/02/2018, 11:33 || others || Paula Bennett || Today Jess came into see me to discuss some areas of policy that she is passionate about. It’s always great to hear new ideas and perspectives. Good luck for your final few days of university Jess! || 
14/02/2018, 09:15 || others || Paula Bennett ||  || 
13/02/2018, 18:31 || others || Paula Bennett || Having a glass of wine with the boss 13/02/2018, 14:09 || others || Paula Bennett || It has been an absolute privilege and honour to work alongside Bill English. He has been a tremendous leader and will be sorely missed. I wish Bill and his family all the best for the next chapter in their lives. || 
12/02/2018, 19:32 || others || Paula Bennett ||  || 
03/02/2018, 12:43 || others || Paula Bennett || Celebrating Chinese New Year. I hope it's a happy and prosperous one for all || 
01/02/2018, 09:04 || others || Paula Bennett ||  || 
30/01/2018, 18:34 || others || Paula Bennett is with Julz Darroch. || Great first day back. Looking forward to a busy and exciting 2018. || 
21/01/2018, 09:07 || others || Paula Bennett ||  || 
18/01/2018, 14:45 || others || Paula Bennett || Today the Government has removed the word ‘vulnerable’ from the Ministry for Children’s title. We think it’s now time to cut the semantics and get on with the job of looking after our kids. || 
19/12/2017, 14:50 || others || Paula Bennett || Had a few spare minutes this morning, so one of my millennials showed me Tom Sainsbury - Comedian and Snapchat Dude's latest video. || 
12/12/2017, 18:42 || others || Paula Bennett || KidsCanNZ are having their funding cut by this Labour-led government. Unbelievable. This is an organisation that is making a real difference to poor kids lives. || 
07/12/2017, 18:40 || others || Paula Bennett || My take on this week in Parliament - you'd expect the Greens and New Zealand First to disagree on Work for the Dole, but Labour's own MPs can't even agree with each other! Total shambles. || 
07/12/2017, 15:10 || others || Paula Bennett ||  || 
06/12/2017, 20:37 || others || Paula Bennett || Competition time. At Christmas drinks with my fellow MPs. Who do these belong to? || 
29/11/2017, 14:46 || others || Paula Bennett || Bill English is down south for a funeral today so here's my preview of what I'll be covering in Question Time. || 
28/11/2017, 16:07 || others || Paula Bennett || #WATCH My question in Parliament today to the Deputy Prime Minister on the secret 38-page coalition document. Suffice to say, his answers weren't very clear. || 
17/11/2017, 06:40 || others || Paula Bennett || Which price is right? 15/11/2017, 21:09 || others || Paula Bennett || 14/11/2017, 18:33 || others || Paula Bennett || Speaks for itself really, I thought they'd do better! || 
06/11/2017, 20:08 || others || Paula Bennett || Carpooling with the girls! Amy Adams Nikki Kaye Maggie Barry MP || 
13/10/2017, 17:43 || others || Paula Bennett || 10/10/2017, 09:00 || others || Paula Bennett || Congratulations to Rainbow’s End who has received the the Qualmark Gold Sustainable Tourism Business Award. It recognises a company’s commitment to the environment, health and safety, and customer experience. || 
09/10/2017, 17:20 || others || Paula Bennett || Very cool to see the Auld Mug make its way to Edgecumbe || 
05/10/2017, 18:25 || others || Paula Bennett || Great job Jamie! || 
05/10/2017, 08:52 || others || Paula Bennett || Did you know Air New Zealand is switching to electricity to power its aircraft while on airport gates? The move will reduce emissions by over 4,500 tonnes each year - great leadership from our national carrier. || 
03/10/2017, 19:08 || others || Paula Bennett || Prime Minister's update on coalition negotiations || 
03/10/2017, 10:21 || others || Paula Bennett || Interesting approach to reducing emissions, won't work for all farmers but could work for some. || 
27/09/2017, 08:31 || others || Paula Bennett || Welcome to National's Class of 2017! A hugely talented group of people || 
25/09/2017, 08:16 || others || Paula Bennett || Exciting times for new and returning MPs - newbies will be straight into their induction with the welcome signs out already this morning. || 
22/09/2017, 16:13 || others || Paula Bennett is at Sylvia Park Shopping Centre. || Mama Bennett visits Sylvia Park || 
22/09/2017, 14:35 || others || Paula Bennett is eating ice-cream at Pokeno Ice Cream. || Rolling some ice creams in Pokeno #BackingBill || 
22/09/2017, 14:20 || others || Paula Bennett || He got up again. Your vote is crucial to secure our future, Party Vote National. || 
22/09/2017, 13:16 || others || Paula Bennett || You're looking lovely today Hamilton! #BackingBill || 
22/09/2017, 12:39 || others || Paula Bennett ||  || 
22/09/2017, 12:22 || others || Paula Bennett || There's a few hours to go so make sure you Party Vote National! || 
22/09/2017, 11:03 || others || Paula Bennett || Quick stop at Karapiro #BackingBill || 
22/09/2017, 10:20 || others || Paula Bennett || Such a great reception in Rotorua #BackingBill || 
